Swimlane ID	Swimlane	SwimLane Fieldname (autogenerated by formular)	Usecase ID	Usecase	Usecase Fieldname (autogenerated by formular)	Count of req per UC	Centers	2 digits centers	Business criticality	Aircraft Phase	Sizing Use Case	Target Epic	Originating Service/Platform	Target Service/Platform	Services/Interfaces required by Target	Capability or Interface	Comment
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC02	Machine Learning	S6UC02: Machine Learning	0	1G	1G	High	Current programs & eAction	FALSE	ML Platform		ML Platform	Data Management, AWS: MLOps, Single Node Batch, HPC Multi Node Batch	Interface	DoE + ML (exploration) + ML (training, inference)
S6	Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6: Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC03	Surrogate model creation	S6UC03: Surrogate model creation	1	1PZ	1P	High	Current programs & eAction	FALSE	ML Platform		ML Platform	Data Management	Interface	Use case mentioned data hosted on Giseh, but storage is only exposed on Giseh. It is assumed that the ML platform will provide services for exploration, training and inference.
S6	Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6: Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC04	Data-Aware Job Scheduling	S6UC04: Data-Aware Job Scheduling	0	ALL	AL	High	Current programs & eAction	FALSE	OUT OF SCOPE				Capability	Data-aware & compliance-aware scheduling for batch computing spanning EU + UK + IN domains. Not in scope of the GoF epic. 
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC05	ISAMI+ Surrogates	S6UC05: ISAMI+ Surrogates	12	1A	1A	Medium	Current programs & eAction	FALSE	Giseh	Giseh VDI	Giseh VDI: Compute	AWS: MLOps	Interface	TBC: are the surrogate models created on Giseh or is an ML platform involved?
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC06	Computer Vision Framework	S6UC06: Computer Vision Framework	2	1A	1A	High	Current programs & eAction	FALSE	ML Platform	ML Platform	ML Platform	Single Node Batch, Airbus Artifactory, Skywise, Airbus GitRepo, Jenkins	Interface	Seems to be targeting an ML platform
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC07	Advanced Transformer Framework	S6UC07: Advanced Transformer Framework	1	1A	1A	High	Current programs & eAction	FALSE	ML Platform	ML Platform	ML Platform	Single Node Batch, Skywise, Airbus Artifactory, Airbus GitRepo	Out Of Scope 	Capability seems to be targetting an ML platform requiring a potential interface to Single Node Batch
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC08	GenAI Forge - SLM/LLM Fine-Tuning	S6UC08: GenAI Forge - SLM/LLM Fine-Tuning	2	1A	1A	High	Current programs & eAction	FALSE	ML Platform	ML Platform	ML Platform	Skywise, Airbus Artifactory, Jenkins, Airbus GitRepo	Out Of Scope 	Seems to be ML Platform only
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC09	Semantic & Knowledge Graph Framework	S6UC09: Semantic & Knowledge Graph Framework	1	1A	1A	Medium	Current programs & eAction	FALSE	ML Platform	ML Platform	ML Platform	Skywise, Jenkins, Airbus Artifactory, Airbus GitRepo, Single Node Batch	Out Of Scope 	ML Platform only
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC10	LLM MCP - Model Context Protocol	S6UC10: LLM MCP - Model Context Protocol	0	1PZ	1P	Low	Current programs & eAction	TRUE	Giseh	Giseh VDI	Giseh VDI: Pre/Post	Agentic AI, Single Node Batch, HPC Multi Node Batch	Interface	Interface to platform able to provide Agentic AI (MCP protocol mentioned) to trigger actions on Giseh(!), scope and governance to be clarified
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC11	ISAMI+ NGSAi Expert Assistant	S6UC11: ISAMI+ NGSAi Expert Assistant	0	1A	1A	Medium	Current programs & eAction	TRUE	Giseh, ML Platform	Giseh VDI	AWS: MLOps	Jupyter Notebook	Interface	"""Capability"" to run Jupyter notebooks able to connect to ModelOps and vice versa.
Jupyter service expected to run on GISEH. MobileSSO for authentication.
to be discussed whether GoF shall provided ""services"" (and not only GUI tools and batch)
otherwise only outgoing"
S6	 Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6:  Modeling & Simulation using Artificial Intelligence - Machine Learning and Surrogate Modelling	S6UC12	Surrogate Modelling based on FMU	S6UC12: Surrogate Modelling based on FMU	0	1YV/1V	1Y	Medium	Current programs & eAction	FALSE	HMF	Windows Laptop	Single Node Batch	AWS: MLOps	Out Of Scope 	unclear where GISEH batch steps in and which connections involve GISEH with interfaces --> out of scope since all is triggered from Windows, only interface to Giseh Batch required
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC01	CFD Simulation Study - Collaborative	S7UC01: CFD Simulation Study - Collaborative	0	1YV/1YL	1Y	High	Current programs & eAction	FALSE	Giseh	Windows Laptop	Windows Laptop: Pre/Post, Giseh VDI: Pre/Post	HPC Multi Node Batch, Jupyter Notebook, DMU/Catia, Data Management	Capability	Some Pre/Post steps are happening on Windows (Desktop), however, this maybe due to slow application start on Giseh VDIs and non existing versions on RHEL7.  
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC02	Design Manager / MDO (Grid Computing)	S7UC02: Design Manager / MDO (Grid Computing)	0	1YV	1Y	Medium	Current programs & eAction	FALSE	DDMS: Workflow	DDMS:Workflow	DDMS:Workflow, GEMSEO	Single Node Batch	Interface	Workflow Orchestrator triggering compute on Windows and Linux (potentially containerized)
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC03	Co-Simulation with External Partners	S7UC03: Co-Simulation with External Partners	1	1G	1G	Medium	Current programs & eAction	FALSE	OUT OF SCOPE					Cosimulation between HPC6 and an external HPC is out of scope for Giseh but currently followed up by a small project involving Airbus and Safran
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC04	Accessing computations means worldwidely in a seamless manner	S7UC04: Accessing computations means worldwidely in a seamless manner	1	ALL	AL	Medium	Current programs & eAction	FALSE	OUT OF SCOPE					Setting up grid computing (spanning all Airbus entities is out of scope) 
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC05	Working across different Business Units	S7UC05: Working across different Business Units	3	ALL	AL	High	Current programs & eAction	FALSE	OUT OF SCOPE					This would require a transnational of setup of Scientific Computing services, currently not in scope, would require solution based on cloudstack that can be potentially provided transnationally
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC06	Smooth & Compliant access for subcontractor	S7UC06: Smooth & Compliant access for subcontractor	0	ALL	AL	Critical	Current programs & eAction	FALSE	Giseh	Access Gate	Giseh VDI	External Repos		"to be checked in combination  with trans-decision, trans-entity accessibility and access to any other connected ressource.
Full authorization and authentication landscape to be defined.
data upload from external as ""interface"" ?"
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC07	Licence Management anticipation and deployment	S7UC07: Licence Management anticipation and deployment	0	ALL	AL	Critical	Current programs & eAction	FALSE	OUT OF SCOPE					Licenses have to be paid by Business, maybe a service to aid Business could be discussed. Testing on Scale requires a cloud-eligible license. 
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC08	Global Unified Engineering Environment	S7UC08: Global Unified Engineering Environment	5	ALL	AL	High	Current programs & eAction	FALSE	OUT OF SCOPE					Sorry, this is out of scope.
S7	Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7: Digital collaboration with other Airbus divisions Partners and Extended Enterprise	S7UC09	External co-development	S7UC09: External co-development	0	1G	1G	High	Current programs & eAction	FALSE	OUT OF SCOPE	Giseh VDI				Potentially out of scope as we are not supposed to connect to outside repositories, in case this is needed, a proper EPOT request with a security review needs to be intiated. Trusted partners may get a special treatment but a proper security assessment is always required.
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	FALSE					
		: 			: 						FALSE	TBD					--> Burkhard
